0,curso,bloque,criterio,estandar,prior
2311,2,Bloque 3. Materiales de uso técnico,1. Analizar las propiedades de los materiales utilizados en la construcción de objetos tecnológicos reconociendo su estructura interna y relacionándola con las propiedades que presentan y las modificaciones que se puedan producir.,"1.1. Identifica las propiedades de la madera y sus derivados y los metales (mecánicas, térmicas, eléctricas,...).",
2312,2,Bloque 3. Materiales de uso técnico,1. Analizar las propiedades de los materiales utilizados en la construcción de objetos tecnológicos reconociendo su estructura interna y relacionándola con las propiedades que presentan y las modificaciones que se puedan producir.,"1.2. Reconoce los materiales de los que están hechos objetos de uso habitual, relacionando sus aplicaciones con sus propiedades.",
2313,2,Bloque 3. Materiales de uso técnico,1. Analizar las propiedades de los materiales utilizados en la construcción de objetos tecnológicos reconociendo su estructura interna y relacionándola con las propiedades que presentan y las modificaciones que se puedan producir.,"1.3. Valora el impacto ambiental de la extracción, uso y deshecho de la madera y sus derivados y los metales y propone medidas de consumo responsable de estos materiales técnicos.",
2321,2,Bloque 3. Materiales de uso técnico,"2. Manipular y mecanizar materiales convencionales asociando la documentación técnica al proceso de producción de un objeto, respetando sus características y empleando técnicas y herramientas adecuadas con especial atención a las normas de seguridad y salud.","2.1. Manipula, respetando las normas de seguridad y salud en el trabajo, las herramientas del taller en operaciones básicas de mecanizado, unión y acabado de la madera y los metales.",
2322,2,Bloque 3. Materiales de uso técnico,"2. Manipular y mecanizar materiales convencionales asociando la documentación técnica al proceso de producción de un objeto, respetando sus características y empleando técnicas y herramientas adecuadas con especial atención a las normas de seguridad y salud.",2.2. Construye prototipos que den solución a un problema técnico siguiendo el plan de trabajo previsto.,
2411,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,1. Analizar y describir los esfuerzos a los que están sometidas las estructuras experimentando en prototipos.,"1.1. Describe, utilizando un vocabulario apropiado, apoyándose en información escrita, audiovisual o digital, las características propias que configuran las tipologías de las estructuras y sus elementos.",
2412,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,1. Analizar y describir los esfuerzos a los que están sometidas las estructuras experimentando en prototipos.,"1.2. Identifica los esfuerzos característicos y la transmisión de los mismos en los elementos que configuran la estructura, realizando prácticas sencillas con prototipos.",
2421,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"2. Identificar y analizar los mecanismos y elementos responsables de transformar y transmitir movimientos, en máquinas y sistemas, integrados en una estructura.","2.1. Explica la función de los elementos que configuran una máquina o sistema, desde el punto de vista estructural y mecánico.",
2422,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"2. Identificar y analizar los mecanismos y elementos responsables de transformar y transmitir movimientos, en máquinas y sistemas, integrados en una estructura.",2.2. Describe el funcionamiento general de una máquina sencilla explicando cómo se transforma o transmite el movimiento y la fuerza.,
2423,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"2. Identificar y analizar los mecanismos y elementos responsables de transformar y transmitir movimientos, en máquinas y sistemas, integrados en una estructura.",2.3. Diseña y construye proyectos tecnológicos sencillos que permitan la transmisión y transformación de movimiento.,
2431,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,3. Relacionar los efectos de la energía eléctrica y su capacidad de conversión en otras manifestaciones energéticas.,3.1. Explica los principales efectos de la corriente eléctrica y su conversión aplicándolos a situaciones cotidianas.,
2441,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,4. Diseñar y simular circuitos con simbología adecuada y montar circuitos con elementos eléctricos.,4.1. Diseña utilizando software específico y la simbología adecuada circuitos eléctricos básicos y simula su funcionamiento.,
2442,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,4. Diseñar y simular circuitos con simbología adecuada y montar circuitos con elementos eléctricos.,"4.2. Analiza el funcionamiento de circuitos eléctricos básicos, identificando sus componentes y describiendo su función en el conjunto.",
2443,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,4. Diseñar y simular circuitos con simbología adecuada y montar circuitos con elementos eléctricos.,4.3. Realiza el montaje de circuitos con componentes eléctricos básicos.,
2444,2,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,4. Diseñar y simular circuitos con simbología adecuada y montar circuitos con elementos eléctricos.,4.4. Utiliza dispositivos eléctricos básicos en la construcción de prototipos.,
2511,2,Bloque 5. Tecnologías de la Información y la Comunicación.,1. Describir las partes operativas de un equipo informático y su función.,1.1. Identifica las partes de un ordenador y su función en el conjunto.,
2512,2,Bloque 5. Tecnologías de la Información y la Comunicación.,1. Describir las partes operativas de un equipo informático y su función.,1.2. Utiliza adecuadamente equipos informáticos y dispositivos electrónicos de forma autónoma y responsable.,
2513,2,Bloque 5. Tecnologías de la Información y la Comunicación.,1. Describir las partes operativas de un equipo informático y su función.,1.3. Conoce los elementos básicos del sistema operativo y los utiliza correctamente.,
2514,2,Bloque 5. Tecnologías de la Información y la Comunicación.,1. Describir las partes operativas de un equipo informático y su función.,1.4. Realiza operaciones básicas de organización y almacenamiento de la información.,
2515,2,Bloque 5. Tecnologías de la Información y la Comunicación.,1. Describir las partes operativas de un equipo informático y su función.,1.5. Instala y maneja programas y software básicos.,
2521,2,Bloque 5. Tecnologías de la Información y la Comunicación.,2. Utilizar de forma segura sistemas de intercambio de información.,"2.1. Utiliza espacios web, plataformas y otros sistemas de intercambio de información de forma responsable y crítica.",
2522,2,Bloque 5. Tecnologías de la Información y la Comunicación.,2. Utilizar de forma segura sistemas de intercambio de información.,2.2. Conoce las medidas de seguridad aplicables a una situación de riesgo y emplea hábitos de protección adecuados.,
2531,2,Bloque 5. Tecnologías de la Información y la Comunicación.,3. Utilizar un equipo informático para elaborar y comunicar proyectos técnicos.,"3.1. Elabora documentos de texto con aplicaciones informáticas, de forma individual y colaborativa, que integren tablas, imágenes y gráficos, así como otras posibilidades de diseño.",
2532,2,Bloque 5. Tecnologías de la Información y la Comunicación.,3. Utilizar un equipo informático para elaborar y comunicar proyectos técnicos.,3.2. Utiliza funciones básicas de las hojas de cálculo para elaborar el presupuesto en un proyecto tecnológico.,
2533,2,Bloque 5. Tecnologías de la Información y la Comunicación.,3. Utilizar un equipo informático para elaborar y comunicar proyectos técnicos.,3.3. Crea presentaciones mediante aplicaciones informáticas.,
2541,2,Bloque 5. Tecnologías de la Información y la Comunicación.,4. Elaborar programas sencillos mediante entornos de aprendizaje de lenguaje de programación de entorno gráfico.,4.1. Crea pequeños programas informáticos utilizando recursos propios fundamentales de lenguaje de programación de entorno gráfico.,
2542,2,Bloque 5. Tecnologías de la Información y la Comunicación.,4. Elaborar programas sencillos mediante entornos de aprendizaje de lenguaje de programación de entorno gráfico.,"4.2. Diseña y elabora la programación de un juego sencillo, animación o historia interactiva mediante un entorno de programación gráfico.",
3111,3,Bloque 1.Proceso de resolución de problemas tecnológicos,"1.    Analizar las etapas necesarias para la creación de un producto tecnológico desde su origen hasta su comercialización, investigando su influencia en la sociedad y proponiendo mejoras tanto desde el punto de vista de su utilidad como de su posible impacto social. ",1.1.    Realiza el análisis desde distintos puntos de vista objetos y sistemas técnicos y su influencia en la sociedad. ,
3112,3,Bloque 1.Proceso de resolución de problemas tecnológicos,"1.    Analizar las etapas necesarias para la creación de un producto tecnológico desde su origen hasta su comercialización, investigando su influencia en la sociedad y proponiendo mejoras tanto desde el punto de vista de su utilidad como de su posible impacto social. ",1.2.    Busca información en internet seleccionando las fuentes adecuadas de forma crítica y selectiva.,
3113,3,Bloque 1.Proceso de resolución de problemas tecnológicos,"1.    Analizar las etapas necesarias para la creación de un producto tecnológico desde su origen hasta su comercialización, investigando su influencia en la sociedad y proponiendo mejoras tanto desde el punto de vista de su utilidad como de su posible impacto social. ","1.3.    Valora de forma crítica el impacto social, económico y ambiental de la creación de nuevos objetos. ",
3121,3,Bloque 1.Proceso de resolución de problemas tecnológicos,"2.    Describir las operaciones técnicas previstas en un plan de trabajo utilizando los recursos materiales y organizativos con criterios de economía, seguridad y respeto al medio ambiente y valorando las condiciones del entorno de trabajo.",2.1.    Elabora una hoja de proceso especificando las condiciones técnicas para la construcción de un proyecto. ,
3122,3,Bloque 1.Proceso de resolución de problemas tecnológicos,"2.    Describir las operaciones técnicas previstas en un plan de trabajo utilizando los recursos materiales y organizativos con criterios de economía, seguridad y respeto al medio ambiente y valorando las condiciones del entorno de trabajo.",2.2.    Reconoce las consecuencias medioambientales de la actividad tecnológica y actúa responsablemente para reducir su impacto. ,
3123,3,Bloque 1.Proceso de resolución de problemas tecnológicos,"2.    Describir las operaciones técnicas previstas en un plan de trabajo utilizando los recursos materiales y organizativos con criterios de economía, seguridad y respeto al medio ambiente y valorando las condiciones del entorno de trabajo.","2.3.    Colabora y participa activamente, en el trabajo en grupo para la resolución de problemas tecnológicos, respetando las ideas y opiniones de los demás miembros. ",
3211,3,Bloque 2. Expresión y comunicación técnica,1.    Representar objetos mediante perspectivas aplicando criterios de normalización.,1.1.    Dibuja objetos y sistemas técnicos en perspectiva caballera e isométrica empleando criterios normalizados de acotación con claridad y limpieza.,
3212,3,Bloque 2. Expresión y comunicación técnica,1.    Representar objetos mediante perspectivas aplicando criterios de normalización.,1.2.    Usa aplicaciones informáticas de diseño gráfico en dos y tres dimensiones para la representación de objetos y sistemas técnicos.,
3221,3,Bloque 2. Expresión y comunicación técnica,2.    Explicar mediante documentación técnica las distintas fases de un producto desde su diseño hasta su comercialización.,2.1.    Elabora la memoria técnica de un proyecto integrando los documentos necesarios y empleando software específico de apoyo.,
3222,3,Bloque 2. Expresión y comunicación técnica,2.    Explicar mediante documentación técnica las distintas fases de un producto desde su diseño hasta su comercialización.,"2.2.    Presenta documentación técnica con claridad, orden y limpieza.",
3311,3,Bloque 3. Materiales de uso técnico,1.    Analizar las propiedades de los materiales utilizados en la construcción de objetos tecnológicos reconociendo su estructura interna y relacionándola con las propiedades que presentan y las modificaciones que se puedan producir.,"1.1.    Reconoce los materiales de los que están hechos objetos de uso habitual, relacionando sus aplicaciones con sus propiedades. ",
3312,3,Bloque 3. Materiales de uso técnico,1.    Analizar las propiedades de los materiales utilizados en la construcción de objetos tecnológicos reconociendo su estructura interna y relacionándola con las propiedades que presentan y las modificaciones que se puedan producir.,"1.2.    Valora el impacto ambiental de la extracción, uso y deshecho de los plásticos y propone medidas de consumo responsable de productos y materiales técnicos. ",
3313,3,Bloque 3. Materiales de uso técnico,1.    Analizar las propiedades de los materiales utilizados en la construcción de objetos tecnológicos reconociendo su estructura interna y relacionándola con las propiedades que presentan y las modificaciones que se puedan producir.,1.3.    Realiza una investigación sobre las propiedades y las aplicaciones de nuevos materiales exponiendo los resultados mediante soporte informático.,
3321,3,Bloque 3. Materiales de uso técnico,"2.    Manipular y mecanizar materiales convencionales asociando la documentación técnica al proceso de producción de un objeto, respetando sus características y empleando técnicas y herramientas adecuadas con especial atención a las normas de seguridad y salud","2.1.    Manipula las herramientas del taller en operaciones básicas de mecanizado, conformado, unión y acabado de los plásticos materiales de uso técnico. ",
3322,3,Bloque 3. Materiales de uso técnico,"2.    Manipular y mecanizar materiales convencionales asociando la documentación técnica al proceso de producción de un objeto, respetando sus características y empleando técnicas y herramientas adecuadas con especial atención a las normas de seguridad y salud",2.2.    Describe el proceso de fabricación de productos mediante impresión en 3D identificando sus fases.,
3323,3,Bloque 3. Materiales de uso técnico,"2.    Manipular y mecanizar materiales convencionales asociando la documentación técnica al proceso de producción de un objeto, respetando sus características y empleando técnicas y herramientas adecuadas con especial atención a las normas de seguridad y salud",2.3.    Construye prototipos que den solución a un problema técnico siguiendo el plan de trabajo previsto y respetando las normas de seguridad y salud en el trabajo,
3411,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"1.    Identificar y analizar los mecanismos y elementos responsables de transformar y transmitir movimientos, en máquinas y sistemas, integrados en una estructura.","1.1.    Analiza la ventaja mecánica en distintos mecanismos, identificando los parámetros de entrada y salida y su relación de transmisión.",
3412,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"1.    Identificar y analizar los mecanismos y elementos responsables de transformar y transmitir movimientos, en máquinas y sistemas, integrados en una estructura.","1.2.    Explica la función de los elementos que configuran una máquina o sistema desde el punto de vista estructural y mecánico, describiendo cómo se transforma o transmite el movimiento y el funcionamiento general de la máquina.",
3413,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"1.    Identificar y analizar los mecanismos y elementos responsables de transformar y transmitir movimientos, en máquinas y sistemas, integrados en una estructura.",1.3.    Diseña y construye proyectos tecnológicos que permitan la transmisión y transformación de movimiento.,
3421,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"2.    Relacionar los efectos de la energía eléctrica y su capacidad de conversión en otras manifestaciones energéticas, analizando su consumo energético.",2.1.    Calcula el consumo eléctrico de diversos aparatos valorando su eficiencia energética.,
3422,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"2.    Relacionar los efectos de la energía eléctrica y su capacidad de conversión en otras manifestaciones energéticas, analizando su consumo energético.",2.2.    Propone medidas de ahorro energético en aparatos  eléctricos y electrónicos de uso cotidiano.,
3431,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,3.    Diseñar y simular circuitos con simbología adecuada y montar circuitos con elementos eléctricos y electrónicos.,3.1.    Diseña utilizando software específico y simbología adecuada circuitos eléctricos y electrónicos y simula su funcionamiento.,
3432,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,3.    Diseñar y simular circuitos con simbología adecuada y montar circuitos con elementos eléctricos y electrónicos.,3.2.    Mide utilizando los instrumentos de medida adecuados el valor de las magnitudes eléctricas básicas.,
3433,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,3.    Diseñar y simular circuitos con simbología adecuada y montar circuitos con elementos eléctricos y electrónicos.,3.3.    Resuelve circuitos eléctricos y electrónicos aplicando la ley de Ohm para calcular las magnitudes eléctricas básicas.,
3434,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,3.    Diseñar y simular circuitos con simbología adecuada y montar circuitos con elementos eléctricos y electrónicos.,3.4.    Realiza el montaje de circuitos eléctricos y electrónicos básicos.,
3441,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"4.    Diseñar y montar circuitos de control programado, que funcionen dentro de sistema técnico, utilizando el entorno de programación y una placa controladora de forma adecuada. ",4.1.    Utiliza correctamente los elementos eléctricos y electrónicos como sensores y actuadores en circuitos de control programado describiendo su funcionamiento.,
3442,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"4.    Diseñar y montar circuitos de control programado, que funcionen dentro de sistema técnico, utilizando el entorno de programación y una placa controladora de forma adecuada. ",4.2.    Diseña y monta circuitos de control automático que realicen las tareas propuestas para un prototipo de forma autónoma.,
3443,3,Bloque 4. Estructuras y mecanismos: máquinas y sistemas.,"4.    Diseñar y montar circuitos de control programado, que funcionen dentro de sistema técnico, utilizando el entorno de programación y una placa controladora de forma adecuada. ",4.3.    Elabora un programa informático que controle el funcionamiento de un sistema técnico.,
3511,3,Bloque 5. Tecnologías de la Información y la Comunicación.,1.    Utilizar de forma segura sistemas de intercambio de información.,"1.1.    Maneja espacios web, plataformas y otros sistemas de intercambio de información a través de internet de forma colaborativa de forma responsable y crítica. ",
3512,3,Bloque 5. Tecnologías de la Información y la Comunicación.,1.    Utilizar de forma segura sistemas de intercambio de información.,1.2.    Conoce las medidas de seguridad aplicables a una situación de riesgo en la conexión a internet y emplea hábitos de protección adecuados.,
3521,3,Bloque 5. Tecnologías de la Información y la Comunicación.,2.    Utilizar un equipo informático para elaborar y comunicar proyectos técnicos.,"2.1.    Utiliza hojas de cálculo para elaborar la documentación técnica necesaria en un proyecto tecnológico, que incluyan resultados textuales, numéricos y gráficos.",
3522,3,Bloque 5. Tecnologías de la Información y la Comunicación.,2.    Utilizar un equipo informático para elaborar y comunicar proyectos técnicos.,2.2.    Crea presentaciones mediante aplicaciones informáticas que integren elementos multimedia.,
3523,3,Bloque 5. Tecnologías de la Información y la Comunicación.,2.    Utilizar un equipo informático para elaborar y comunicar proyectos técnicos.,"2.3.    Edita archivos de imagen, audio y vídeo con aplicaciones de equipos informáticos y dispositivos móviles.",
5111,5,Bloque 1.Recursos energéticos,"1. Analizar la importancia que los recursos energéticos tienen en la sociedad actual, describiendo las formas de producción de cada una de ellas, así como sus debilidades y fortalezas en el desarrollo de una sociedad sostenible.","1.1 Resuelve problemas de conversión de energías y cálculo de trabajo, potencias y rendimientos empleando las unidades adecuadas.",
5112,5,Bloque 1.Recursos energéticos,"1. Analizar la importancia que los recursos energéticos tienen en la sociedad actual, describiendo las formas de producción de cada una de ellas, así como sus debilidades y fortalezas en el desarrollo de una sociedad sostenible.","1.2. Describe las diferentes fuentes de energía relacionándolas con el coste de producción, el impacto ambiental que produce y la sostenibilidad.",
5113,5,Bloque 1.Recursos energéticos,"1. Analizar la importancia que los recursos energéticos tienen en la sociedad actual, describiendo las formas de producción de cada una de ellas, así como sus debilidades y fortalezas en el desarrollo de una sociedad sostenible.",1.3. Dibuja diagramas de bloques de diferentes tipos de centrales de producción de energía explicando cada uno de sus bloques constitutivos y relacionándolos entre sí.,
5121,5,Bloque 1.Recursos energéticos,"2. Realizar propuestas de reducción de consumo energético para viviendas o locales, con la ayuda de programas informáticos, y la información de consumo de los mismos.",2.1. Explica las ventajas que supone desde el punto de vista del consumo que un edificio esté certificado energéticamente.,
5122,5,Bloque 1.Recursos energéticos,"2. Realizar propuestas de reducción de consumo energético para viviendas o locales, con la ayuda de programas informáticos, y la información de consumo de los mismos.",2.2. Analiza y calcula las facturas de los distintos consumos energéticos en una vivienda utilizando una hoja de cálculo.,
5123,5,Bloque 1.Recursos energéticos,"2. Realizar propuestas de reducción de consumo energético para viviendas o locales, con la ayuda de programas informáticos, y la información de consumo de los mismos.","2.3. Elabora planes de reducción de costes de consumo energético en viviendas, identificando aquellos puntos donde el consumo pueda ser reducido.",
5124,5,Bloque 1.Recursos energéticos,"2. Realizar propuestas de reducción de consumo energético para viviendas o locales, con la ayuda de programas informáticos, y la información de consumo de los mismos.",2.4. Investiga recursos en la red o programas informáticos que ayuden a reducir los costes de consumo energético en la vivienda.,
5211,5,Bloque 2. Máquinas y sistemas,"1. Analizar los bloques constitutivos de sistemas y/o máquinas, interpretando su interrelación y describiendo los principales elementos que los componen, utilizando el vocabulario relacionado con el tema.","1.1. Describe la función de los elementos que constituyen una máquina dada, explicando de forma clara y con el vocabulario técnico adecuado su contribución al conjunto.",
5212,5,Bloque 2. Máquinas y sistemas,"1. Analizar los bloques constitutivos de sistemas y/o máquinas, interpretando su interrelación y describiendo los principales elementos que los componen, utilizando el vocabulario relacionado con el tema.",1.2. Desmonta máquinas de uso común realizando un análisis mecánico de las mismas.,
5213,5,Bloque 2. Máquinas y sistemas,"1. Analizar los bloques constitutivos de sistemas y/o máquinas, interpretando su interrelación y describiendo los principales elementos que los componen, utilizando el vocabulario relacionado con el tema.",1.3. Explica la conversión de movimientos que tiene lugar en máquinas.,
5214,5,Bloque 2. Máquinas y sistemas,"1. Analizar los bloques constitutivos de sistemas y/o máquinas, interpretando su interrelación y describiendo los principales elementos que los componen, utilizando el vocabulario relacionado con el tema.",1.4. Calcula las magnitudes mecánicas más características de una máquina.,
5215,5,Bloque 2. Máquinas y sistemas,"1. Analizar los bloques constitutivos de sistemas y/o máquinas, interpretando su interrelación y describiendo los principales elementos que los componen, utilizando el vocabulario relacionado con el tema.",1.5. Reconoce los distintos elementos auxiliares de una máquina y justifica su funcionamiento,
5216,5,Bloque 2. Máquinas y sistemas,"1. Analizar los bloques constitutivos de sistemas y/o máquinas, interpretando su interrelación y describiendo los principales elementos que los componen, utilizando el vocabulario relacionado con el tema.",1.6. Diseña mediante programas de simulación el sistema mecánico que solucione un problema técnico real,
5221,5,Bloque 2. Máquinas y sistemas,"2. Verificar el funcionamiento de circuitos eléctrico-electrónicos, neumáticos e hidráulicos, analizando sus características técnicas, interpretando sus esquemas, utilizando los aparatos y equipos de medida adecuados, interpretando y valorando los resultados obtenidos apoyándose en el montaje o simulación física de los mismos.","2.1. Monta, simula y comprueba circuitos eléctricos y electrónicos reales en el aula-taller.",
5222,5,Bloque 2. Máquinas y sistemas,"2. Verificar el funcionamiento de circuitos eléctrico-electrónicos, neumáticos e hidráulicos, analizando sus características técnicas, interpretando sus esquemas, utilizando los aparatos y equipos de medida adecuados, interpretando y valorando los resultados obtenidos apoyándose en el montaje o simulación física de los mismos.",2.2. Analiza y compara las características técnicas de diferentes modelos de electrodomésticos utilizando catálogos de fabricantes como documentación.,
5223,5,Bloque 2. Máquinas y sistemas,"2. Verificar el funcionamiento de circuitos eléctrico-electrónicos, neumáticos e hidráulicos, analizando sus características técnicas, interpretando sus esquemas, utilizando los aparatos y equipos de medida adecuados, interpretando y valorando los resultados obtenidos apoyándose en el montaje o simulación física de los mismos.","2.3. Identifica todos los componentes de un sistema neumático, ya sea en visión directa, en simulador informático o en esquema sobre papel.",
5224,5,Bloque 2. Máquinas y sistemas,"2. Verificar el funcionamiento de circuitos eléctrico-electrónicos, neumáticos e hidráulicos, analizando sus características técnicas, interpretando sus esquemas, utilizando los aparatos y equipos de medida adecuados, interpretando y valorando los resultados obtenidos apoyándose en el montaje o simulación física de los mismos.","2.4. Interpreta y valora los resultados obtenidos de circuitos eléctrico-electrónicos, neumáticos o hidráulicos.",
5231,5,Bloque 2. Máquinas y sistemas,"3. Realizar esquemas de circuitos que dan solución a problemas técnicos mediante circuitos eléctrico-electrónicos, neumáticos o hidráulicos con ayuda de simuladores informáticos y calcular los parámetros característicos de los mismos.","3.1. Calcula los parámetros eléctricos de un circuito eléctrico de una o más mallas, a partir de un esquema dado aplicando las leyes de Kirchhoff.",
5232,5,Bloque 2. Máquinas y sistemas,"3. Realizar esquemas de circuitos que dan solución a problemas técnicos mediante circuitos eléctrico-electrónicos, neumáticos o hidráulicos con ayuda de simuladores informáticos y calcular los parámetros característicos de los mismos.",3.2. Diseña circuitos eléctricos utilizando programas de simulación.,
5233,5,Bloque 2. Máquinas y sistemas,"3. Realizar esquemas de circuitos que dan solución a problemas técnicos mediante circuitos eléctrico-electrónicos, neumáticos o hidráulicos con ayuda de simuladores informáticos y calcular los parámetros característicos de los mismos.",3.3. Diseña circuitos neumáticos utilizando programas de simulación.,
5311,5,Bloque 3. Programación y robótica,"1. Adquirir las habilidades y los conocimientos necesarios para elaborar programas informáticos estructurados, utilizaNdo recursos de programación tales como: variables de diferentes tipos, bucles, sentencias condicionales y funciones de programación.","1.1. Realiza programas capaces de resolver problemas sencillos, realizando el diagrama de flujo correspondiente.",
5312,5,Bloque 3. Programación y robótica,"1. Adquirir las habilidades y los conocimientos necesarios para elaborar programas informáticos estructurados, utilizaNdo recursos de programación tales como: variables de diferentes tipos, bucles, sentencias condicionales y funciones de programación.","1.2. Desarrolla programas utilizando diferentes tipos de variables, bucles y sentencias condicionales.",
5313,5,Bloque 3. Programación y robótica,"1. Adquirir las habilidades y los conocimientos necesarios para elaborar programas informáticos estructurados, utilizaNdo recursos de programación tales como: variables de diferentes tipos, bucles, sentencias condicionales y funciones de programación.",1.3. Elabora un programa informático estructurado que resuelva un problema relacionado con la robótica.,
