0,curso,bloque,criterio,estandar,prior
1234,1,Bloque 2. Diseño y construcción de prototipos. El proceso tecnológico,"3. Utilizar de forma técnicamente correcta y respetando las normas de seguridad y salud: los materiales, las herramientas y las máquinas necesarias para la construcción de prototipos de objetos y sistemas que resuelvan problemas y necesidades humanas y evaluar su funcionamiento.",3.4 Valora positivamente la importancia de respetar y asumir las ideas de otros miembros del equipo de trabajo.,
1311,1,Bloque 3. Inventos y máquinas,1. Conocer y valorar la importancia de los principales inventos que han marcado los hitos de la evolución tecnológica.,"1.1. Analiza cronológicamente en una línea del tiempo la evolución de la tecnología a lo largo de la historia o en una época concreta, marcando los principales hitos, inventos e inventores.",
1312,1,Bloque 3. Inventos y máquinas,1. Conocer y valorar la importancia de los principales inventos que han marcado los hitos de la evolución tecnológica.,"1.2. Elabora un documento multimedia, debidamente documentado sobre algún invento o inventor de la historia de la tecnología.",
1321,1,Bloque 3. Inventos y máquinas,"2. Describir la influencia de los principales avances tecnológico en la sociedad a lo largo de la historia, identificando los cambios que han supuesto y sus consecuencias sociales, culturales y","2.1. Describe y expone, valorando razonadamente, las aportaciones que ha realizado la evolución tecnológica a la sociedad y sus consecuencias en cada época.",
1331,1,Bloque 3. Inventos y máquinas,"3. Conocer los elementos de máquinas de diferentes sistemas técnicos: estructurales, mecánicos y eléctricos para, posteriormente, diseñar, planificar, construir y evaluar un sistema técnico que solucione un problema propuesto.","3.1. Describe los elementos y sistemas que forman parte de una máquina, diferenciando su función en el conjunto.",
1332,1,Bloque 3. Inventos y máquinas,"3. Conocer los elementos de máquinas de diferentes sistemas técnicos: estructurales, mecánicos y eléctricos para, posteriormente, diseñar, planificar, construir y evaluar un sistema técnico que solucione un problema propuesto.","3.2 Utiliza de forma adecuada elementos tecnológicos: estructurales, mecánicos y eléctricos en el diseño, construcción y evaluación de un prototipo",
1411,1,Bloque 4. Programación creativa,"1. Utilizar	adecuadamente	las herramientas básicas y el entorno de un
lenguaje de programación de interfaz gráfica",1.1. Maneja con soltura las herramientas que ofrece el entorno de un lenguaje de programación de interfaz gráfica.,
1421,1,Bloque 4. Programación creativa,2. Emplear recursos básicos de programación de forma efectiva y rigurosa para elaborar un programa informático.,"2.1. Utiliza apropiadamente diferentes recursos de programación, tales como: bucles de repetición, estructuras condicionales y otros propios del lenguaje de programación.",
1422,1,Bloque 4. Programación creativa,2. Emplear recursos básicos de programación de forma efectiva y rigurosa para elaborar un programa informático.,2.2. Diseña un diagrama de flujo que conlleve la elaboración de un programa.,
1423,1,Bloque 4. Programación creativa,2. Emplear recursos básicos de programación de forma efectiva y rigurosa para elaborar un programa informático.,"2.3. Elabora un programa ordenado que incluya algún recurso de programación cuya ejecución permita contar una historia, jugar a un videojuego o desarrollar una presentación interactivos. ",
1431,1,Bloque 4. Programación creativa,"3. Aprovechar las ventajas que ofrece una comunidad de aprendizaje en internet para aportar sus programas, así como para aprender y encontrar soluciones creativas de programación.",3.1. Aporta a una comunidad de aprendizaje de programación sus creaciones y analiza las soluciones encontradas por otros miembros de la comunidad como ideas para aplicarlas a sus programas.,
